board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,0,1,0,0,0,0,0,9,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,1,0,0,0,0,0,0,11,2,0,0,0,25.28
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,2,6,0,0,0,0,0,12,2,0,0,0,53.82
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,3,8,0,0,0,0,0,13,2,0,0,0,49.25
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,4,2,0,0,0,0,0,12,2,0,0,1,48.63
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,5,2,0,0,0,0,0,7,2,0,0,0,24.12
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,6,4,0,0,2,2.25,0,5,2,0,0,0,9.97
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,0,7,1,0,0,0,0,0,1,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,0,8,0,0,2,3.27,0,20,2,0,0,2,43.38
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,1,15,0,0,5,7.64,0,25,2,0,0,1,61.66
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,2,0,0,0,0,0,0,26,2,0,0,0,4.8
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,3,0,0,0,0,0,0,26,2,0,0,0,33.72
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,4,7,7,0,7,14.91,0,27,2,0,0,3,122.63
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,5,13,5,0,7,12.21,0,19,2,0,0,5,152.67
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,6,3,0,0,0,0,0,8,2,0,0,1,7.49
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,1,7,3,0,0,0,0,0,2,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,2,0,7,0,0,3,4.5,0,27,2,0,0,7,220.34
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,2,1,10,0,0,3,4.25,0,33,2,0,0,3,82.66
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,2,2,2,0,0,0,0,0,34,2,0,0,2,98.09
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,2,3,0,0,0,0,0,0,33,2,0,0,0,196.19
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,2,4,15,7,0,8,16.95,0,36,2,0,0,3,188.07
