board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,0,1,0,0,0,0,0,9,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,1,0,0,0,0,0,0,11,2,0,0,0,32.69
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,2,6,0,0,0,0,0,12,2,0,0,1,117.15
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,3,8,0,0,0,0,0,13,2,0,0,0,32.16
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,4,2,0,0,0,0,0,12,2,0,0,0,27.74
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,5,2,0,0,0,0,0,7,2,0,0,0,6.5
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,6,4,0,0,2,2.25,0,5,2,0,0,0,15.85
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,0,7,1,0,0,0,0,0,1,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,0,8,0,0,2,3.27,0,21,2,0,0,3,72.62
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,1,15,0,0,5,8.76,0,25,2,0,0,1,111.68
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,2,0,0,0,0,0,0,26,2,0,0,0,173.97
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,3,0,0,0,0,0,0,26,2,0,0,0,38.88
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,4,7,7,0,7,14.91,0,27,2,0,0,0,69.02
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,5,13,5,0,7,12.21,0,19,2,0,0,3,77.92
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,6,3,0,0,0,0,0,8,2,0,0,2,61.33
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,1,7,3,0,0,0,0,0,2,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,0,7,0,0,3,6.75,0,29,2,0,0,7,130.45
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,1,10,0,0,4,6.32,0,33,2,0,0,3,103.52
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,2,2,0,0,0,0,0,34,2,0,0,2,100.18
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,3,0,0,0,0,0,0,33,2,0,0,0,24.12
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,4,15,7,0,8,16.95,0,36,2,0,0,10,280.81
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,5,16,5,0,9,12.72,0,26,2,0,0,8,184.8
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,6,1,0,0,1,1.12,0,10,2,0,0,1,49.96
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,2,7,5,0,0,1,1.39,0,5,2,0,0,0,20.08
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,0,16,0,0,0,0,0,28,2,0,0,7,159.44
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,1,13,0,0,0,0,0,33,2,0,0,6,185.52
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,2,3,0,0,0,0,0,34,2,0,0,2,144.82
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,3,0,0,0,0,0,0,30,2,0,0,3,123.28
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,4,22,0,0,4,8.67,0,36,2,0,0,2,55.08
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,5,10,0,0,3,3.64,0,25,2,0,0,6,94.66
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,6,8,0,0,0,0,0,14,2,0,0,3,75.2
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,3,7,4,0,0,1,1.12,0,6,2,0,0,1,44.78
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,0,14,0,0,0,0,0,22,2,0,0,4,129.21
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,1,8,0,0,0,0,0,26,2,0,0,6,121.45
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,2,2,0,0,0,0,0,26,2,0,0,2,44.33
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,3,0,0,0,0,0,0,22,2,0,0,0,23.7
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,4,8,0,0,2,1.12,0,25,2,0,0,1,44.44
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,5,3,0,0,0,0,0,19,2,0,0,1,46.7
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,6,2,0,0,0,0,0,10,2,0,0,1,28.38
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,4,7,1,0,0,0,0,0,4,2,0,0,0,26.83
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,0,5,0,0,0,0,0,20,2,0,0,2,112.95
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,1,13,13,0,7,12.8,0,29,2,0,0,5,151.7
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,2,18,3,0,4,6.37,0,39,2,1,0,8,211.91
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,3,17,0,0,5,7.55,0,28,2,0,0,3,107.04
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,4,7,4,0,4,8.25,0,29,2,0,0,2,78.38
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,5,15,0,0,3,3.62,0,23,2,0,0,3,86.57
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,6,3,0,0,0,1.75,0,9,2,0,0,0,28.13
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,5,7,3,0,0,1,3.73,0,5,2,0,0,0,7.98
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,0,4,0,0,0,0,0,17,2,0,0,1,91.37
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,1,18,18,0,9,7.36,3.39,28,2,0,0,4,71.58
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,2,26,4,0,4,12.6,0,44,2,0,0,10,230.75
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,3,18,0,0,4,4.5,0,35,2,0,0,13,275.83
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,4,25,4,0,6,13.68,0,38,2,0,0,11,141.28
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,5,24,0,0,8,5.54,0,32,2,0,0,5,114.74
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,6,2,0,0,1,0,0,8,2,0,0,0,51.64
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,6,7,2,0,0,3,1.55,0,5,2,0,0,0,10.24
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,0,6,0,0,0,0,0,14,2,0,0,2,68.88
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,1,27,27,1,12,31.69,6.67,33,2,0,0,2,92.56
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,2,12,0,0,7,3.87,0,44,2,0,0,7,144.82
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,3,8,0,0,6,4.5,0,33,2,0,0,6,128.62
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,4,24,0,0,7,21.05,0,33,2,0,0,4,128.14
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,5,18,0,0,2,2.08,0,35,2,0,0,11,181.98
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,6,2,0,0,0,0,0,9,2,0,0,0,6.55
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,7,7,4,0,0,1,3.1,0,5,2,0,0,0,18.45
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,0,2,0,0,0,0,0,11,2,0,0,1,29.83
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,1,9,9,0,7,17.97,25.34,23,2,0,0,1,84.09
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,2,14,0,0,4,4.33,0,32,2,0,0,0,75.8
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,3,8,0,0,4,4.17,0,24,2,0,0,4,105.89
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,4,9,0,0,2,1.12,0,22,2,0,0,3,104.16
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,5,15,0,0,3,3.21,0,22,2,0,0,3,123.97
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,6,2,0,0,0,0,0,7,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,8,7,3,0,0,0,0,0,3,2,0,0,0,9.39
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,0,1,0,0,0,0,0,7,3,0,0,1,39.2
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,1,4,0,0,1,0,0,14,2,0,0,0,30.41
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,2,7,0,0,0,0,0,16,2,0,0,0,41.03
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,3,4,0,0,1,0.96,0,14,2,0,0,0,4.38
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,4,2,0,0,0,0,0,11,2,0,0,0,55.6
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,5,6,0,0,0,0,0,11,2,0,0,0,19.99
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,6,2,0,0,0,0,0,5,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-1,859e07673c4b,9,7,1,0,0,0,0,0,1,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,0,1,0,0,0,0,0,9,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,1,0,0,0,0,0,0,11,2,0,0,0,4.91
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,2,6,0,0,0,0,0,12,2,0,0,0,77.66
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,3,8,0,0,0,0,0,14,2,0,0,0,68.22
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,4,2,0,0,0,0,0,12,2,0,0,0,19.95
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,5,2,0,0,0,0,0,7,2,0,0,1,20.83
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,6,4,0,0,2,2.25,0,5,2,0,0,0,9.77
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,0,7,1,0,0,0,0,0,1,3,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,0,8,0,0,2,4.83,0,19,2,0,0,1,50.08
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,1,15,0,0,4,5.39,0,25,2,0,0,1,99.07
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,2,0,0,0,0,0,0,26,2,0,0,0,17.9
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,3,0,0,0,0,0,0,27,2,0,0,0,30.42
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,4,7,7,0,7,14.91,0,27,2,0,0,1,53.69
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,5,13,5,0,7,12.21,0,19,2,0,0,3,136.5
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,6,3,0,0,0,0,0,8,2,0,0,0,17.79
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,1,7,3,0,0,0,0,0,2,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,0,7,0,0,3,6.05,0,26,2,0,0,8,201.28
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,1,10,0,0,4,5.38,0,33,2,0,0,6,103.44
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,2,2,0,0,0,0,0,34,2,0,0,2,65.26
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,3,0,0,0,0,0,0,34,2,0,0,2,141.0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,4,15,7,0,9,16.95,0,36,2,0,0,4,281.22
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,5,16,5,0,8,12.72,0,26,2,0,0,7,153.89
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,6,1,0,0,1,1.12,0,10,2,0,0,0,6.1
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,2,7,5,0,0,1,1.39,0,5,2,0,0,1,4.97
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,36cd254f05eb,3,0,16,0,0,0,0,0,25,2,0,0,6,117.38
