board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,0,3,0,0,0,0,0,6,2,0,0,0,12.47
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,1,4,0,0,0,0,0,10,2,0,0,0,61.26
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,2,3,0,0,1,1.9,0,11,2,0,0,0,12.2
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,3,3,0,0,0,0,0,13,2,0,0,1,118.63
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,4,8,6,0,5,15.12,0,14,2,0,0,0,7.23
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,5,8,0,0,4,3.39,0,13,2,0,0,1,43.54
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,0,6,1,0,0,0,0,0,2,2,0,0,0,0
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,0,6,0,0,0,0,0,10,2,0,0,0,184.76
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,1,7,0,0,0,0,0,14,2,0,0,1,56.37
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,2,5,0,0,1,1.9,0,17,2,0,0,0,46.39
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,3,5,0,0,0,0,0,17,2,0,0,2,47.61
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,4,5,0,0,2,8.3,0,18,2,0,0,1,34.37
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,5,8,0,0,6,3.65,0,18,2,0,0,1,54.86
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,1,6,1,0,0,0,0,0,3,2,0,0,0,7.74
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,2,0,0,0,0,0,0,0,10,2,0,0,0,333.04
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,2,1,3,0,0,0,0,0,14,2,0,0,0,118.39
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,2,2,4,0,0,1,1.39,0,17,2,0,0,3,169.09
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,2,3,5,0,0,1,1.39,0,17,2,0,0,4,136.54
