board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,0,0,2,0,0,0,12.18,0,4,2,0,0,0,35.47
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,0,1,4,0,0,0,0,0,12,1,0,0,3,53.8
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,0,2,4,0,0,0,0,0,10,1,0,0,2,74.46
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,0,3,3,0,0,0,10.47,0,5,2,0,0,0,68.22
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,0,4,1,0,0,0,0,0,0,2,0,0,0,0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,1,0,2,0,0,2,0,0,4,1,0,0,0,82.27
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,1,1,32,32,0,18,42.69,0,26,1,0,0,9,109.19
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,1,2,12,0,0,8,3.38,0,22,1,0,0,6,147.75
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,1,3,1,0,0,2,2.77,0,7,1,0,0,3,54.09
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,1,4,0,0,0,0,0,0,0,1,0,0,0,44.84
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,2,0,2,0,0,1,10.66,0,4,1,0,0,0,6.01
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,2,1,12,10,0,8,15.64,0,29,1,0,0,6,163.76
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,2,2,13,0,0,6,3.38,0,28,1,0,0,10,127.77
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,2,3,2,0,0,1,11.79,0,9,1,0,0,2,51.98
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,2,4,0,0,0,0,0,0,0,1,0,0,0,6.1
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,3,0,9,0,0,1,25.97,0,5,1,1,0,2,16.09
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,3,1,4,0,0,3,2.25,0,26,1,0,0,12,170.35
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-1,fb8dfb946ab5,3,2,7,0,0,1,1.12,0,27,1,0,0,5,91.09
