board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,0,0,2,0,0,0,12.18,0,4,2,0,0,0,68.81
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,0,1,4,0,0,0,0,0,12,1,0,0,1,44.73
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,0,2,4,0,0,0,0,0,10,1,0,0,1,47.95
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,0,3,3,0,0,0,10.47,0,5,2,0,0,2,60.48
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,0,4,1,0,0,0,0,0,0,2,0,0,0,0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,1,0,2,0,0,2,0,0,4,1,0,0,1,13.67
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,1,1,32,32,0,18,42.69,0,26,1,0,0,4,116.6
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,1,2,12,0,0,8,3.38,0,23,1,0,0,10,140.25
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,1,3,1,0,0,2,2.33,0,7,1,0,0,3,39.0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,1,4,0,0,0,0,0,0,0,1,0,0,0,11.72
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,2,0,2,0,0,1,10.66,0,4,1,0,0,0,47.62
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,2,1,12,10,0,8,15.64,0,29,1,0,0,9,124.94
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,2,2,13,0,0,6,3.38,0,28,1,0,0,8,167.39
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,2,3,2,0,0,1,11.79,0,9,1,0,0,3,31.38
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,2,4,0,0,0,0,0,0,0,1,0,0,0,3.92
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,3,0,13,0,0,1,25.97,0,5,1,0,0,0,20.52
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,3,1,4,0,0,3,2.25,0,26,1,0,0,3,113.59
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,3,2,7,0,0,1,1.12,0,27,1,0,0,5,126.9
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,3,3,0,0,0,0,0,0,9,1,0,0,4,83.14
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,3,4,0,0,0,0,0,0,0,1,0,0,0,17.82
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,4,0,5,0,0,2,38.18,0,6,1,0,0,0,71.41
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,4,1,11,6,0,6,15.85,0,21,1,0,0,6,133.74
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,4,2,14,0,0,3,3.38,0,22,1,0,0,5,65.73
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,4,3,4,0,0,0,0,0,9,1,0,0,2,88.11
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,4,4,0,0,0,0,0,0,0,1,0,0,0,9.23
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,5,0,0,0,0,2,0,0,3,1,0,0,2,26.53
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,5,1,3,0,0,0,0,0,11,1,0,0,1,20.02
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,5,2,6,0,0,1,1.12,0,10,1,1,0,2,77.14
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,5,3,1,0,0,0,0,0,5,1,0,0,1,46.4
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,5,4,0,0,0,0,0,0,0,1,0,0,0,87.46
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,6,0,2,0,0,0,0,0,1,2,0,0,0,12.87
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,6,1,2,0,0,0,0,0,6,1,0,0,1,35.92
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,6,2,2,0,0,0,0,0,6,1,0,0,0,41.37
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,6,3,2,0,0,0,0,0,4,2,0,0,0,10.06
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-5,4f83e1c1b737,6,4,1,0,0,0,0,0,0,2,0,0,0,0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,0,0,2,0,0,0,12.18,0,4,2,0,0,0,22.94
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,0,1,4,0,0,0,0,0,12,1,0,0,1,31.89
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,0,2,4,0,0,0,0,0,10,1,1,0,0,48.71
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,0,3,3,0,0,0,10.47,0,5,2,0,0,0,43.61
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,0,4,1,0,0,0,0,0,0,2,0,0,0,48.88
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,1,0,2,0,0,2,0,0,4,1,0,0,0,44.11
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,1,1,32,32,0,18,42.69,0,26,1,0,0,9,144.29
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,1,2,12,0,0,9,3.38,0,22,1,0,0,7,138.0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,1,3,2,0,0,2,3.27,0,7,1,0,0,4,87.51
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,1,4,0,0,0,0,0,0,0,1,0,0,0,84.11
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,2,0,2,0,0,1,10.66,0,4,1,1,0,0,5.65
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,2,1,12,10,0,8,15.64,0,29,1,0,0,4,126.5
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,2,2,12,0,0,5,3.38,0,28,1,0,0,12,144.65
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,2,3,1,0,0,1,11.79,0,9,1,0,0,3,33.66
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,2,4,0,0,0,0,0,0,0,1,0,0,0,4.61
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,3,0,9,0,0,1,25.97,0,5,1,1,0,1,27.27
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,3,1,4,0,0,3,2.25,0,26,1,0,0,3,86.92
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,3,2,8,0,0,1,1.12,0,27,1,1,0,4,106.15
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,3,3,0,0,0,0,0,0,9,1,0,0,2,37.12
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,4,0,9,0,0,2,38.18,0,6,1,0,0,0,4.53
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,4,1,11,6,0,6,15.85,0,21,1,0,0,5,123.79
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,4,2,14,0,0,2,2.25,0,22,1,0,0,5,114.43
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-6,6491a1c4cfe5,4,3,4,0,0,0,0,0,9,1,0,0,2,52.12
