Designator,Mid X,Mid Y,Layer,Rotation
J_DOCK,-12.000000mm,-70.000000mm,Bottom,0.000000
C7,-0.755000mm,-41.655000mm,Top,0.000000
C13,-82.430000mm,-48.775000mm,Top,0.000000
C14,-77.180000mm,-48.605000mm,Top,0.000000
C15,-72.530000mm,-48.605000mm,Top,0.000000
C16,-61.270000mm,75.645000mm,Top,0.000000
C17,-57.060000mm,75.645000mm,Top,0.000000
C18,-48.640000mm,75.645000mm,Top,0.000000
C19,-44.430000mm,75.645000mm,Top,0.000000
C20,-40.220000mm,75.645000mm,Top,0.000000
C21,-36.010000mm,75.645000mm,Top,0.000000
C22,-101.895000mm,60.495000mm,Top,0.000000
C23,-93.475000mm,60.495000mm,Top,0.000000
C24,-8.615000mm,60.620000mm,Top,0.000000
C25,-25.675000mm,60.370000mm,Top,0.000000
C26,26.105000mm,-42.380000mm,Top,0.000000
C27,43.425000mm,-34.605000mm,Top,0.000000
C28,-21.895000mm,-48.665000mm,Top,0.000000
C29,-10.055000mm,-41.655000mm,Top,0.000000
C30,-5.055000mm,-48.665000mm,Top,0.000000
C31,-5.405000mm,-41.655000mm,Top,0.000000
C32,-68.215000mm,60.495000mm,Top,0.000000
C34,-12.825000mm,60.620000mm,Top,0.000000
C35,15.525000mm,-45.380000mm,Top,0.000000
C36,1.525000mm,-44.915000mm,Top,0.000000
C37,-9.265000mm,-48.665000mm,Top,0.000000
D2,-89.630000mm,-49.875000mm,Top,0.000000
F1,-27.700000mm,28.040000mm,Top,90.000000
F2,-12.960000mm,31.700000mm,Top,0.000000
J_AB1,-79.620000mm,-73.752500mm,Top,90.000000
J_GPS1,24.010000mm,-55.500000mm,Top,90.000000
J_LEDS1,-55.250000mm,-73.475000mm,Top,0.000000
J_MEZZ1,-8.752500mm,16.890000mm,Top,0.000000
J_MEZZ_PWR1,-8.550000mm,-19.757500mm,Top,90.000000
J_PACK,-27.000000mm,-11.600000mm,Top,90.000000
J_WIFI1,2.010000mm,49.000000mm,Top,90.000000
J_X1202BAT,-27.000000mm,17.600000mm,Top,-90.000000
J_X1202DC,-126.250000mm,-59.475000mm,Top,0.000000
LED2,-65.480000mm,75.605000mm,Top,0.000000
R12,-83.145000mm,-56.880000mm,Top,0.000000
R18,-42.955000mm,60.495000mm,Top,0.000000
R19,-52.850000mm,75.645000mm,Top,0.000000
R20,-97.685000mm,60.495000mm,Top,0.000000
R21,-89.265000mm,60.495000mm,Top,0.000000
R22,-85.055000mm,60.495000mm,Top,0.000000
R23,-80.845000mm,60.495000mm,Top,0.000000
R24,-76.635000mm,60.495000mm,Top,0.000000
R25,-72.425000mm,60.495000mm,Top,0.000000
R26,-21.245000mm,60.620000mm,Top,0.000000
R27,0.555000mm,68.245000mm,Top,0.000000
R28,7.105000mm,-45.380000mm,Top,0.000000
R29,16.455000mm,-37.755000mm,Top,0.000000
R30,-6.895000mm,-44.915000mm,Top,0.000000
R31,-21.095000mm,-41.805000mm,Top,0.000000
R32,-17.685000mm,-48.665000mm,Top,0.000000
R33,-15.285000mm,-41.805000mm,Top,0.000000
R34,-64.005000mm,60.495000mm,Top,0.000000
R35,-59.795000mm,60.495000mm,Top,0.000000
R36,-55.585000mm,60.495000mm,Top,0.000000
R37,-51.375000mm,60.495000mm,Top,0.000000
R38,-47.165000mm,60.495000mm,Top,0.000000
R39,-0.845000mm,-48.665000mm,Top,0.000000
R40,-17.035000mm,60.620000mm,Top,0.000000
R41,11.315000mm,-45.380000mm,Top,0.000000
R42,-2.685000mm,-44.915000mm,Top,0.000000
R43,-13.475000mm,-48.665000mm,Top,0.000000
U5,-98.975000mm,-51.300000mm,Top,0.000000
U6,-97.075000mm,69.425000mm,Top,0.000000
U7,-23.725000mm,65.900000mm,Top,0.000000
U8,-6.625000mm,65.920000mm,Top,0.000000
U9,-15.175000mm,65.900000mm,Top,0.000000
U10,9.275000mm,-40.100000mm,Top,0.000000
U11,36.825000mm,-37.080000mm,Top,0.000000
U12,28.275000mm,-37.100000mm,Top,0.000000
U13,-19.725000mm,-28.100000mm,Top,0.000000
U14,-11.175000mm,-36.105000mm,Top,0.000000
U15,-11.175000mm,-28.100000mm,Top,0.000000
U16,-2.625000mm,-28.100000mm,Top,0.000000
U17,-2.625000mm,-36.105000mm,Top,0.000000
U18,-19.725000mm,-36.125000mm,Top,0.000000
U19,-83.700000mm,70.625000mm,Top,0.000000
Y1,-74.900000mm,74.625000mm,Top,0.000000
