Designator,Mid X,Mid Y,Layer,Rotation
J_AB1,-64.380000mm,-78.752500mm,Bottom,90.000000
C1,-83.075000mm,-63.025000mm,Top,0.000000
C2,-83.075000mm,-66.575000mm,Top,0.000000
C3,-68.645000mm,-63.305000mm,Top,0.000000
C4,-64.435000mm,-63.305000mm,Top,0.000000
C5,-56.015000mm,-63.305000mm,Top,0.000000
C6,-51.805000mm,-63.305000mm,Top,0.000000
C7,-72.895000mm,-66.095000mm,Top,0.000000
C8,-68.685000mm,-66.095000mm,Top,0.000000
C9,-64.475000mm,-66.095000mm,Top,0.000000
C10,-48.825000mm,-51.605000mm,Top,0.000000
C11,-56.055000mm,-66.095000mm,Top,0.000000
C12,-13.685000mm,9.610000mm,Top,0.000000
C13,-17.675000mm,12.570000mm,Top,0.000000
C14,65.385000mm,77.820000mm,Top,0.000000
C15,48.325000mm,77.570000mm,Top,0.000000
C16,-59.475000mm,59.450000mm,Top,0.000000
C17,-54.715000mm,64.350000mm,Top,0.000000
C18,-16.895000mm,-31.935000mm,Top,0.000000
C19,-5.015000mm,-28.150000mm,Top,0.000000
C20,-7.435000mm,26.950000mm,Top,0.000000
C21,-13.685000mm,23.440000mm,Top,0.000000
C22,-11.865000mm,26.700000mm,Top,0.000000
C26,-11.475000mm,-74.405000mm,Top,0.000000
C27,-50.285000mm,64.600000mm,Top,0.000000
C28,-0.585000mm,-27.900000mm,Top,0.000000
C29,-46.075000mm,64.600000mm,Top,0.000000
C30,3.625000mm,-27.900000mm,Top,0.000000
C31,-3.225000mm,26.950000mm,Top,0.000000
C33,-17.895000mm,9.610000mm,Top,0.000000
C34,61.175000mm,77.820000mm,Top,0.000000
C40,-83.075000mm,-70.125000mm,Top,0.000000
C41,-83.075000mm,-73.675000mm,Top,0.000000
C42,-83.075000mm,-77.225000mm,Top,0.000000
D1,-81.680000mm,-46.875000mm,Top,0.000000
D3,-81.680000mm,-52.625000mm,Top,0.000000
D4,-81.680000mm,-58.375000mm,Top,0.000000
F2,-7.875000mm,30.880000mm,Top,0.000000
F4,-66.425000mm,63.380000mm,Top,0.000000
F5,0.235000mm,-22.075000mm,Top,0.000000
F6,11.200000mm,-66.075000mm,Top,0.000000
J_5V_M1,-93.757500mm,-67.450000mm,Top,0.000000
J_5V_M2,-93.757500mm,-57.450000mm,Top,0.000000
J_5V_PI,-93.757500mm,-47.450000mm,Top,0.000000
J_DCF77,-88.750000mm,77.525000mm,Top,0.000000
J_GPIO1,-75.130000mm,47.747500mm,Top,90.000000
J_PANEL,85.247500mm,79.430000mm,Top,0.000000
J_RB9603,4.375000mm,-60.455000mm,Top,0.000000
J_RB9704,1.110000mm,-48.752500mm,Top,90.000000
J_RTL1,-17.990000mm,-3.500000mm,Top,90.000000
J_TBEAM1,97.000000mm,57.550000mm,Top,0.000000
J_TCALL1,-16.550000mm,43.000000mm,Top,90.000000
J_TD2,-51.250000mm,77.525000mm,Top,0.000000
J_USB_UP1,-30.000000mm,-77.440000mm,Top,180.000000
J_USB_UP2,30.000000mm,-77.440000mm,Top,180.000000
J_XIAO1,-76.550000mm,57.000000mm,Top,90.000000
J_ZB1,43.990000mm,71.250000mm,Top,-90.000000
LED1,-83.855000mm,-80.395000mm,Top,0.000000
LED2,-72.855000mm,-63.345000mm,Top,0.000000
Q1,6.365000mm,-21.825000mm,Top,0.000000
R1,-79.645000mm,-80.355000mm,Top,0.000000
R2,-60.225000mm,-63.305000mm,Top,0.000000
R3,-60.265000mm,-66.095000mm,Top,0.000000
R4,-51.845000mm,-66.095000mm,Top,0.000000
R5,-72.895000mm,-68.805000mm,Top,0.000000
R6,-68.685000mm,-68.805000mm,Top,0.000000
R7,-64.475000mm,-68.805000mm,Top,0.000000
R8,-60.265000mm,-68.805000mm,Top,0.000000
R9,16.880000mm,-64.855000mm,Top,0.000000
R10,21.090000mm,-64.855000mm,Top,0.000000
R11,-19.895000mm,-74.405000mm,Top,0.000000
R12,-15.685000mm,-74.405000mm,Top,0.000000
R13,-13.245000mm,12.820000mm,Top,0.000000
R14,-8.545000mm,17.245000mm,Top,0.000000
R15,52.755000mm,77.820000mm,Top,0.000000
R16,71.355000mm,82.245000mm,Top,0.000000
R17,-63.685000mm,59.450000mm,Top,0.000000
R18,-59.945000mm,64.200000mm,Top,0.000000
R20,12.045000mm,-27.900000mm,Top,0.000000
R21,-10.245000mm,-28.300000mm,Top,0.000000
R22,-17.095000mm,26.550000mm,Top,0.000000
R25,-7.265000mm,-74.405000mm,Top,0.000000
R26,-12.685000mm,-31.935000mm,Top,0.000000
R27,-8.475000mm,-31.935000mm,Top,0.000000
R28,-4.265000mm,-31.935000mm,Top,0.000000
R29,-69.895000mm,78.645000mm,Top,0.000000
R30,-9.035000mm,12.820000mm,Top,0.000000
R31,56.965000mm,77.820000mm,Top,0.000000
R32,-67.895000mm,59.450000mm,Top,0.000000
R33,7.835000mm,-27.900000mm,Top,0.000000
R34,-17.895000mm,23.440000mm,Top,0.000000
U1,-68.075000mm,-55.975000mm,Top,0.000000
U2,-5.200000mm,-66.000000mm,Top,0.000000
U3,3.350000mm,-66.000000mm,Top,0.000000
U4,-8.775000mm,-12.000000mm,Top,0.000000
U5,-15.725000mm,-11.980000mm,Top,0.000000
U6,-15.725000mm,16.500000mm,Top,0.000000
U7,65.775000mm,81.500000mm,Top,0.000000
U8,58.825000mm,81.520000mm,Top,0.000000
U9,50.275000mm,81.500000mm,Top,0.000000
U10,-66.445000mm,69.430000mm,Top,0.000000
U11,-50.065000mm,70.520000mm,Top,0.000000
U12,-58.615000mm,70.500000mm,Top,0.000000
U13,-15.445000mm,-23.070000mm,Top,0.000000
U14,-7.615000mm,-21.980000mm,Top,0.000000
U15,-16.445000mm,36.930000mm,Top,0.000000
U16,-15.725000mm,30.975000mm,Top,0.000000
U17,-8.615000mm,38.000000mm,Top,0.000000
U20,-15.550000mm,-68.275000mm,Top,0.000000
Y1,-58.425000mm,-52.375000mm,Top,0.000000
