Designator,Mid X,Mid Y,Layer,Rotation
C29,-138.395001mm,63.495000mm,Bottom,0.000000
C30,-134.185001mm,63.495000mm,Bottom,0.000000
C33,-136.875000mm,67.425000mm,Bottom,0.000000
C109,-53.025000mm,-22.604999mm,Bottom,0.000000
C110,-45.265000mm,-39.115000mm,Bottom,0.000000
C117,-52.425001mm,-53.565000mm,Bottom,0.000000
C124,-48.215001mm,-53.565000mm,Bottom,0.000000
C128,-44.005001mm,-53.565000mm,Bottom,0.000000
C129,-81.895000mm,-56.275000mm,Bottom,0.000000
C133,-77.685000mm,-56.275000mm,Bottom,0.000000
C134,-73.475001mm,-56.275000mm,Bottom,0.000000
C135,-60.845001mm,-61.695000mm,Bottom,0.000000
C136,-56.635001mm,-61.695000mm,Bottom,0.000000
C137,-52.425001mm,-61.695000mm,Bottom,0.000000
C138,-48.215001mm,-61.695000mm,Bottom,0.000000
C139,-44.005001mm,-61.695000mm,Bottom,0.000000
C140,-81.895000mm,-64.405000mm,Bottom,0.000000
C141,-77.685000mm,-64.405000mm,Bottom,0.000000
C142,-73.475001mm,-64.405000mm,Bottom,0.000000
C143,-69.265001mm,-64.405000mm,Bottom,0.000000
C144,-65.055001mm,-64.405000mm,Bottom,0.000000
C145,-60.845001mm,-64.405000mm,Bottom,0.000000
C146,-56.635001mm,-64.405000mm,Bottom,0.000000
C147,-81.675000mm,-50.605000mm,Bottom,0.000000
C148,-77.025000mm,-50.605000mm,Bottom,0.000000
C150,-69.265001mm,-56.275000mm,Bottom,0.000000
C158,-65.055001mm,-56.275000mm,Bottom,0.000000
C159,-41.625000mm,-38.845000mm,Bottom,0.000000
C160,-58.465000mm,-41.555000mm,Bottom,0.000000
C161,-49.255000mm,-41.555000mm,Bottom,0.000000
C162,-46.185000mm,-41.555000mm,Bottom,0.000000
C163,-48.595000mm,-22.354999mm,Bottom,0.000000
C164,-55.395000mm,-41.555000mm,Bottom,0.000000
C165,-52.325000mm,-41.555000mm,Bottom,0.000000
C166,-44.385000mm,-22.354999mm,Bottom,0.000000
C167,-40.175001mm,-22.354999mm,Bottom,0.000000
C168,-57.895001mm,-25.565000mm,Bottom,0.000000
C169,-53.685000mm,-25.565000mm,Bottom,0.000000
C170,-49.475000mm,-25.565000mm,Bottom,0.000000
C171,-45.265000mm,-25.565000mm,Bottom,0.000000
C172,-41.055000mm,-25.565000mm,Bottom,0.000000
C173,-57.895001mm,-28.275000mm,Bottom,0.000000
C174,-57.675000mm,-22.604999mm,Bottom,0.000000
C209,8.975000mm,-31.605000mm,Bottom,0.000000
C210,12.525000mm,-45.405000mm,Bottom,0.000000
C217,-25.475000mm,-58.565000mm,Bottom,0.000000
C224,-21.265000mm,-58.565000mm,Bottom,0.000000
C228,-17.055000mm,-58.565000mm,Bottom,0.000000
C229,-12.845000mm,-58.565000mm,Bottom,0.000000
C233,-8.635000mm,-58.565000mm,Bottom,0.000000
C234,-4.425000mm,-58.565000mm,Bottom,0.000000
C235,25.045000mm,-61.275000mm,Bottom,0.000000
C236,29.255000mm,-61.275000mm,Bottom,0.000000
C237,-33.895001mm,-63.985000mm,Bottom,0.000000
C238,-29.685000mm,-63.985000mm,Bottom,0.000000
C239,-25.475000mm,-63.985000mm,Bottom,0.000000
C240,-21.265000mm,-63.985000mm,Bottom,0.000000
C241,-17.055000mm,-63.985000mm,Bottom,0.000000
C242,-12.845000mm,-63.985000mm,Bottom,0.000000
C243,-8.635000mm,-63.985000mm,Bottom,0.000000
C244,-4.425000mm,-63.985000mm,Bottom,0.000000
C245,-0.215000mm,-63.985000mm,Bottom,0.000000
C246,3.995000mm,-63.985000mm,Bottom,0.000000
C247,-33.675000mm,-55.605000mm,Bottom,0.000000
C248,-29.025000mm,-55.605000mm,Bottom,0.000000
C250,-0.215000mm,-58.565000mm,Bottom,0.000000
C258,3.995000mm,-58.565000mm,Bottom,0.000000
C259,16.165000mm,-45.135000mm,Bottom,0.000000
C260,19.235000mm,-45.135000mm,Bottom,0.000000
C263,13.405000mm,-31.355000mm,Bottom,0.000000
C264,22.305000mm,-45.135000mm,Bottom,0.000000
C265,25.375000mm,-45.135000mm,Bottom,0.000000
C266,17.615000mm,-31.355000mm,Bottom,0.000000
C267,21.825000mm,-31.355000mm,Bottom,0.000000
C268,26.035000mm,-31.355000mm,Bottom,0.000000
C269,4.105000mm,-34.565000mm,Bottom,0.000000
C270,8.315000mm,-34.565000mm,Bottom,0.000000
C271,12.525000mm,-34.565000mm,Bottom,0.000000
C272,16.735000mm,-34.565000mm,Bottom,0.000000
C273,20.945000mm,-34.565000mm,Bottom,0.000000
C274,4.325000mm,-31.605000mm,Bottom,0.000000
C286,12.525000mm,-39.985000mm,Bottom,0.000000
C287,28.445000mm,-45.135000mm,Bottom,0.000000
C288,3.535000mm,-47.845000mm,Bottom,0.000000
C289,16.735000mm,-39.985000mm,Bottom,0.000000
C290,6.605000mm,-47.845000mm,Bottom,0.000000
C291,9.675000mm,-47.845000mm,Bottom,0.000000
C309,78.975000mm,-22.604999mm,Bottom,0.000000
C310,82.524999mm,-39.115000mm,Bottom,0.000000
C317,79.575000mm,-53.565000mm,Bottom,0.000000
C324,83.784999mm,-53.565000mm,Bottom,0.000000
C328,87.994999mm,-53.565000mm,Bottom,0.000000
C329,50.105000mm,-56.275000mm,Bottom,0.000000
C333,54.315000mm,-56.275000mm,Bottom,0.000000
C334,58.525000mm,-56.275000mm,Bottom,0.000000
C335,71.155000mm,-61.695000mm,Bottom,0.000000
C336,75.365000mm,-61.695000mm,Bottom,0.000000
C337,79.575000mm,-61.695000mm,Bottom,0.000000
C338,83.784999mm,-61.695000mm,Bottom,0.000000
C339,87.994999mm,-61.695000mm,Bottom,0.000000
C340,50.105000mm,-64.405000mm,Bottom,0.000000
C341,54.315000mm,-64.405000mm,Bottom,0.000000
C342,58.525000mm,-64.405000mm,Bottom,0.000000
C343,62.735000mm,-64.405000mm,Bottom,0.000000
C344,66.945000mm,-64.405000mm,Bottom,0.000000
C345,71.155000mm,-64.405000mm,Bottom,0.000000
C346,75.365000mm,-64.405000mm,Bottom,0.000000
C347,50.325000mm,-50.605000mm,Bottom,0.000000
C348,54.975000mm,-50.605000mm,Bottom,0.000000
C350,62.735000mm,-56.275000mm,Bottom,0.000000
C358,66.945000mm,-56.275000mm,Bottom,0.000000
C359,86.164999mm,-38.845000mm,Bottom,0.000000
C360,89.235000mm,-38.845000mm,Bottom,0.000000
C363,83.405000mm,-22.354999mm,Bottom,0.000000
C364,92.304999mm,-38.845000mm,Bottom,0.000000
C365,73.535000mm,-41.555000mm,Bottom,0.000000
C366,87.615000mm,-22.354999mm,Bottom,0.000000
C367,91.825000mm,-22.354999mm,Bottom,0.000000
C368,74.105000mm,-25.565000mm,Bottom,0.000000
C369,78.315000mm,-25.565000mm,Bottom,0.000000
C370,82.524999mm,-25.565000mm,Bottom,0.000000
C371,86.735000mm,-25.565000mm,Bottom,0.000000
C372,90.945000mm,-25.565000mm,Bottom,0.000000
C373,74.105000mm,-28.275000mm,Bottom,0.000000
C374,74.325000mm,-22.604999mm,Bottom,0.000000
J_AB1,112.247500mm,-61.240000mm,Bottom,0.000000
R9,-131.145001mm,68.645000mm,Bottom,0.000000
R10,-126.935000mm,68.645000mm,Bottom,0.000000
R17,98.105000mm,-79.355000mm,Bottom,0.000000
R18,102.315000mm,-79.355000mm,Bottom,0.000000
R19,106.524999mm,-79.355000mm,Bottom,0.000000
R20,98.105000mm,-82.065000mm,Bottom,0.000000
R101,-45.265000mm,-33.695000mm,Bottom,0.000000
R102,-72.595000mm,-50.355000mm,Bottom,0.000000
R103,-68.385000mm,-50.355000mm,Bottom,0.000000
R104,-64.175000mm,-50.355000mm,Bottom,0.000000
R105,-59.965000mm,-50.355000mm,Bottom,0.000000
R106,-55.755000mm,-50.355000mm,Bottom,0.000000
R107,-51.545000mm,-50.355000mm,Bottom,0.000000
R108,-47.335001mm,-50.355000mm,Bottom,0.000000
R109,-43.125000mm,-50.355000mm,Bottom,0.000000
R110,-81.895000mm,-53.565000mm,Bottom,0.000000
R111,-77.685000mm,-53.565000mm,Bottom,0.000000
R112,-73.475001mm,-53.565000mm,Bottom,0.000000
R113,-69.265001mm,-53.565000mm,Bottom,0.000000
R114,-65.055001mm,-53.565000mm,Bottom,0.000000
R115,-60.845001mm,-53.565000mm,Bottom,0.000000
R116,-56.635001mm,-53.565000mm,Bottom,0.000000
R117,-52.425001mm,-56.275000mm,Bottom,0.000000
R118,-48.215001mm,-56.275000mm,Bottom,0.000000
R119,-44.005001mm,-56.275000mm,Bottom,0.000000
R120,-81.895000mm,-58.985000mm,Bottom,0.000000
R121,-77.685000mm,-58.985000mm,Bottom,0.000000
R122,-73.475001mm,-58.985000mm,Bottom,0.000000
R123,-69.265001mm,-58.985000mm,Bottom,0.000000
R124,-65.055001mm,-58.985000mm,Bottom,0.000000
R125,-60.845001mm,-58.985000mm,Bottom,0.000000
R126,-56.635001mm,-58.985000mm,Bottom,0.000000
R127,-52.425001mm,-58.985000mm,Bottom,0.000000
R128,-48.215001mm,-58.985000mm,Bottom,0.000000
R129,-44.005001mm,-58.985000mm,Bottom,0.000000
R130,-81.895000mm,-61.695000mm,Bottom,0.000000
R131,-77.685000mm,-61.695000mm,Bottom,0.000000
R132,-73.475001mm,-61.695000mm,Bottom,0.000000
R133,-69.265001mm,-61.695000mm,Bottom,0.000000
R134,-65.055001mm,-61.695000mm,Bottom,0.000000
R135,-60.845001mm,-56.275000mm,Bottom,0.000000
R136,-56.635001mm,-56.275000mm,Bottom,0.000000
R137,-45.265000mm,-30.985000mm,Bottom,0.000000
R138,-41.055000mm,-30.985000mm,Bottom,0.000000
R139,-57.895001mm,-33.695000mm,Bottom,0.000000
R141,-53.685000mm,-28.275000mm,Bottom,0.000000
R142,-49.475000mm,-28.275000mm,Bottom,0.000000
R143,-45.265000mm,-28.275000mm,Bottom,0.000000
R144,-41.055000mm,-28.275000mm,Bottom,0.000000
R145,-57.895001mm,-30.985000mm,Bottom,0.000000
R146,-53.685000mm,-30.985000mm,Bottom,0.000000
R147,-49.475000mm,-30.985000mm,Bottom,0.000000
R148,-53.685000mm,-36.405000mm,Bottom,0.000000
R149,-41.055000mm,-33.695000mm,Bottom,0.000000
R150,-57.895001mm,-36.405000mm,Bottom,0.000000
R151,-49.475000mm,-36.405000mm,Bottom,0.000000
R152,-53.685000mm,-33.695000mm,Bottom,0.000000
R153,-49.475000mm,-33.695000mm,Bottom,0.000000
R154,-45.265000mm,-36.405000mm,Bottom,0.000000
R155,-41.055000mm,-36.405000mm,Bottom,0.000000
R156,-57.895001mm,-39.115000mm,Bottom,0.000000
R157,-53.685000mm,-39.115000mm,Bottom,0.000000
R158,-49.475000mm,-39.115000mm,Bottom,0.000000
R201,29.365000mm,-39.985000mm,Bottom,0.000000
R202,-24.595000mm,-55.355000mm,Bottom,0.000000
R203,-20.385000mm,-55.355000mm,Bottom,0.000000
R204,-16.175001mm,-55.355000mm,Bottom,0.000000
R205,-11.965000mm,-55.355000mm,Bottom,0.000000
R206,-7.755000mm,-55.355000mm,Bottom,0.000000
R207,-3.545000mm,-55.355000mm,Bottom,0.000000
R208,0.665000mm,-55.355000mm,Bottom,0.000000
R209,4.875000mm,-55.355000mm,Bottom,0.000000
R210,9.085000mm,-55.355000mm,Bottom,0.000000
R211,13.295000mm,-55.355000mm,Bottom,0.000000
R212,17.505000mm,-55.355000mm,Bottom,0.000000
R213,21.715000mm,-55.355000mm,Bottom,0.000000
R214,25.925000mm,-55.355000mm,Bottom,0.000000
R215,-33.895001mm,-58.565000mm,Bottom,0.000000
R216,-29.685000mm,-58.565000mm,Bottom,0.000000
R217,16.625000mm,-58.565000mm,Bottom,0.000000
R218,20.835000mm,-58.565000mm,Bottom,0.000000
R219,25.045000mm,-58.565000mm,Bottom,0.000000
R220,29.255000mm,-58.565000mm,Bottom,0.000000
R221,-33.895001mm,-61.275000mm,Bottom,0.000000
R222,-29.685000mm,-61.275000mm,Bottom,0.000000
R223,-25.475000mm,-61.275000mm,Bottom,0.000000
R224,-21.265000mm,-61.275000mm,Bottom,0.000000
R225,-17.055000mm,-61.275000mm,Bottom,0.000000
R226,-12.845000mm,-61.275000mm,Bottom,0.000000
R227,-8.635000mm,-61.275000mm,Bottom,0.000000
R228,-4.425000mm,-61.275000mm,Bottom,0.000000
R229,-0.215000mm,-61.275000mm,Bottom,0.000000
R230,3.995000mm,-61.275000mm,Bottom,0.000000
R231,8.205000mm,-61.275000mm,Bottom,0.000000
R232,12.415000mm,-61.275000mm,Bottom,0.000000
R233,16.625000mm,-61.275000mm,Bottom,0.000000
R234,20.835000mm,-61.275000mm,Bottom,0.000000
