Designator,Mid X,Mid Y,Layer,Rotation
C1,127.435000mm,-76.340000mm,Bottom,0.000000
C2,132.085000mm,-76.340000mm,Bottom,0.000000
C3,140.765000mm,-76.090000mm,Bottom,0.000000
C4,144.975000mm,-76.090000mm,Bottom,0.000000
C5,159.425000mm,-91.310000mm,Bottom,0.000000
C6,162.495000mm,-91.310000mm,Bottom,0.000000
C7,149.185000mm,-76.090000mm,Bottom,0.000000
C8,153.395000mm,-76.090000mm,Bottom,0.000000
C9,157.605000mm,-76.090000mm,Bottom,0.000000
C10,161.815000mm,-76.090000mm,Bottom,0.000000
C11,166.025000mm,-76.090000mm,Bottom,0.000000
C12,122.105000mm,-80.740000mm,Bottom,0.000000
C13,126.315000mm,-80.740000mm,Bottom,0.000000
C14,130.525000mm,-80.740000mm,Bottom,0.000000
C15,134.735000mm,-80.740000mm,Bottom,0.000000
C16,138.945000mm,-80.740000mm,Bottom,0.000000
C17,143.155000mm,-80.740000mm,Bottom,0.000000
C18,147.365000mm,-80.740000mm,Bottom,0.000000
C19,151.575000mm,-80.740000mm,Bottom,0.000000
C20,155.785000mm,-80.740000mm,Bottom,0.000000
C21,159.995000mm,-80.740000mm,Bottom,0.000000
C22,164.205000mm,-80.740000mm,Bottom,0.000000
C23,168.415000mm,-80.740000mm,Bottom,0.000000
C24,122.105000mm,-83.450000mm,Bottom,0.000000
C25,126.315000mm,-83.450000mm,Bottom,0.000000
C26,130.525000mm,-83.450000mm,Bottom,0.000000
C27,134.735000mm,-83.450000mm,Bottom,0.000000
D17,43.020000mm,-98.775000mm,Bottom,0.000000
D18,136.555000mm,-76.130000mm,Bottom,0.000000
FB1,57.200000mm,-98.355000mm,Bottom,0.000000
FB2,61.410000mm,-98.355000mm,Bottom,0.000000
FB3,65.620000mm,-98.355000mm,Bottom,0.000000
FB4,69.830000mm,-98.355000mm,Bottom,0.000000
J_MAINSW,-62.000000mm,-108.000000mm,Bottom,0.000000
J_PANEL,-116.000000mm,96.000000mm,Bottom,90.000000
J_PIJ2,-44.000000mm,-108.000000mm,Bottom,0.000000
Q1,163.155000mm,-72.235000mm,Bottom,0.000000
Q2,168.265000mm,-72.235000mm,Bottom,0.000000
Q3,122.555000mm,-77.060000mm,Bottom,0.000000
Q4,-130.400000mm,-104.000000mm,Bottom,0.000000
R1,138.945000mm,-83.450000mm,Bottom,0.000000
R2,143.155000mm,-83.450000mm,Bottom,0.000000
R3,147.365000mm,-83.450000mm,Bottom,0.000000
R4,151.575000mm,-83.450000mm,Bottom,0.000000
R5,155.785000mm,-83.450000mm,Bottom,0.000000
R6,159.995000mm,-83.450000mm,Bottom,0.000000
R7,164.205000mm,-83.450000mm,Bottom,0.000000
R8,168.415000mm,-83.450000mm,Bottom,0.000000
R9,122.105000mm,-86.160000mm,Bottom,0.000000
R10,126.315000mm,-86.160000mm,Bottom,0.000000
R11,130.525000mm,-86.160000mm,Bottom,0.000000
R12,134.735000mm,-86.160000mm,Bottom,0.000000
R13,138.945000mm,-86.160000mm,Bottom,0.000000
R14,143.155000mm,-86.160000mm,Bottom,0.000000
R15,147.365000mm,-86.160000mm,Bottom,0.000000
R16,151.575000mm,-86.160000mm,Bottom,0.000000
R17,155.785000mm,-86.160000mm,Bottom,0.000000
R18,159.995000mm,-86.160000mm,Bottom,0.000000
R19,164.205000mm,-86.160000mm,Bottom,0.000000
R20,168.415000mm,-86.160000mm,Bottom,0.000000
R21,122.105000mm,-88.870000mm,Bottom,0.000000
R22,126.315000mm,-88.870000mm,Bottom,0.000000
R23,130.525000mm,-88.870000mm,Bottom,0.000000
R24,134.735000mm,-88.870000mm,Bottom,0.000000
R25,138.945000mm,-88.870000mm,Bottom,0.000000
R26,143.155000mm,-88.870000mm,Bottom,0.000000
R27,147.365000mm,-88.870000mm,Bottom,0.000000
R28,151.575000mm,-88.870000mm,Bottom,0.000000
R29,155.785000mm,-88.870000mm,Bottom,0.000000
R30,159.995000mm,-88.870000mm,Bottom,0.000000
R31,164.205000mm,-88.870000mm,Bottom,0.000000
R32,168.415000mm,-88.870000mm,Bottom,0.000000
R33,122.105000mm,-91.580000mm,Bottom,0.000000
R34,126.315000mm,-91.580000mm,Bottom,0.000000
R35,130.525000mm,-91.580000mm,Bottom,0.000000
R36,134.735000mm,-91.580000mm,Bottom,0.000000
R37,138.945000mm,-91.580000mm,Bottom,0.000000
R38,143.155000mm,-91.580000mm,Bottom,0.000000
R39,147.365000mm,-91.580000mm,Bottom,0.000000
R40,151.575000mm,-91.580000mm,Bottom,0.000000
R41,155.785000mm,-91.580000mm,Bottom,0.000000
R44,-130.400000mm,-108.000000mm,Bottom,0.000000
R45,-130.400000mm,-112.000000mm,Bottom,0.000000
U1,141.335000mm,-60.775000mm,Bottom,0.000000
U2,155.060000mm,-60.775000mm,Bottom,0.000000
U3,127.330000mm,-62.955000mm,Bottom,0.000000
U4,165.890000mm,-59.275000mm,Bottom,0.000000
U5,152.575000mm,-72.235000mm,Bottom,0.000000
U6,124.075000mm,-72.235000mm,Bottom,0.000000
U7,132.225000mm,-72.235000mm,Bottom,0.000000
U8,140.375000mm,-72.235000mm,Bottom,0.000000
U9,157.925000mm,-72.235000mm,Bottom,0.000000
Y1,147.175000mm,-72.285000mm,Bottom,0.000000
BZ1,-149.000000mm,-97.000000mm,Top,90.000000
C28,-113.675000mm,105.645000mm,Top,0.000000
C29,-93.325000mm,105.895000mm,Top,0.000000
C30,-89.115000mm,105.895000mm,Top,0.000000
C31,-84.905000mm,105.895000mm,Top,0.000000
C32,-113.895000mm,102.145000mm,Top,0.000000
C33,-109.685000mm,102.145000mm,Top,0.000000
C34,-105.475000mm,102.145000mm,Top,0.000000
C35,-101.265000mm,102.145000mm,Top,0.000000
C36,-97.055000mm,102.145000mm,Top,0.000000
C37,-92.845000mm,102.145000mm,Top,0.000000
C38,126.750600mm,65.265100mm,Top,0.000000
D1,126.730000mm,45.000000mm,Top,0.000000
D2,126.730000mm,36.000000mm,Top,0.000000
D3,126.730000mm,27.000000mm,Top,0.000000
D4,126.730000mm,18.000000mm,Top,0.000000
D5,126.730000mm,9.000000mm,Top,0.000000
D6,126.730000mm,0.000000mm,Top,0.000000
D7,126.730000mm,-9.000000mm,Top,0.000000
D8,126.730000mm,-18.000000mm,Top,0.000000
D9,126.730000mm,-27.000000mm,Top,0.000000
D10,126.730000mm,-36.000000mm,Top,0.000000
D11,126.730000mm,-45.000000mm,Top,0.000000
D12,-21.270000mm,-101.000000mm,Top,0.000000
D13,-15.270000mm,-101.000000mm,Top,0.000000
D14,-9.270000mm,-101.000000mm,Top,0.000000
D15,-3.270000mm,-101.000000mm,Top,0.000000
D16,2.730000mm,-101.000000mm,Top,0.000000
D19,-97.060000mm,111.225000mm,Top,0.000000
D20,-91.365000mm,111.225000mm,Top,0.000000
D21,-85.670000mm,111.225000mm,Top,0.000000
J_EPD,-72.000000mm,93.700000mm,Top,0.000000
J_HSJ1,-118.000000mm,-104.000000mm,Top,0.000000
J_HSJ2,-92.000000mm,-104.000000mm,Top,0.000000
L1,-113.075000mm,110.125000mm,Top,0.000000
Q5,-107.595000mm,110.675000mm,Top,0.000000
Q6,-102.485000mm,110.675000mm,Top,0.000000
R42,-101.745000mm,105.895000mm,Top,0.000000
R43,-97.535000mm,105.895000mm,Top,0.000000
SW_EMCON,-150.000000mm,18.000000mm,Top,0.000000
SW_LIGHT,-150.000000mm,-66.000000mm,Top,0.000000
SW_MAIN,150.000000mm,60.000000mm,Top,45.000000
SW_PI,150.000000mm,10.000000mm,Top,45.000000
SW_SOS,-150.000000mm,60.000000mm,Top,0.000000
SW_TEST,150.000000mm,-33.000000mm,Top,45.000000
SW_ZERO,-150.000000mm,-24.000000mm,Top,0.000000
U_LIGHT,128.000000mm,63.000000mm,Top,0.000000
