Designator,Mid X,Mid Y,Layer,Rotation
C1,-8.390000mm,10.395000mm,Top,0.000000
C2,-3.960000mm,10.645000mm,Top,0.000000
C3,0.250000mm,10.645000mm,Top,0.000000
C4,-20.895000mm,-1.265000mm,Top,0.000000
C5,-16.685000mm,-1.265000mm,Top,0.000000
C6,-12.475000mm,-1.265000mm,Top,0.000000
C7,-8.265000mm,-1.265000mm,Top,0.000000
C8,-4.055000mm,-1.265000mm,Top,0.000000
C9,0.155000mm,-1.265000mm,Top,0.000000
C10,-20.895000mm,-3.975000mm,Top,0.000000
C11,10.315000mm,-4.075000mm,Top,0.000000
C12,6.925000mm,4.475000mm,Top,0.000000
D1,16.470000mm,9.125000mm,Top,0.000000
D2,8.075000mm,9.500000mm,Top,0.000000
F1,-20.560000mm,16.700000mm,Top,0.000000
J_CELL,7.000000mm,-16.975000mm,Top,0.000000
J_SMB,29.975000mm,-1.750000mm,Top,90.000000
J_TS,29.950000mm,-10.000000mm,Top,90.000000
Q1,0.195000mm,15.000000mm,Top,0.000000
Q2,7.805000mm,15.000000mm,Top,180.000000
R1,-16.685000mm,-3.975000mm,Top,0.000000
R2,-12.475000mm,-3.975000mm,Top,0.000000
R3,-8.265000mm,-3.975000mm,Top,0.000000
R4,-4.055000mm,-3.975000mm,Top,0.000000
R5,0.155000mm,-3.975000mm,Top,0.000000
R6,-20.895000mm,-6.685000mm,Top,0.000000
R7,-16.685000mm,-6.685000mm,Top,0.000000
R8,-12.475000mm,-6.685000mm,Top,0.000000
R9,-8.265000mm,-6.685000mm,Top,0.000000
R10,-18.000000mm,-15.000000mm,Top,0.000000
R11,11.955000mm,4.895000mm,Top,0.000000
R12,16.165000mm,4.895000mm,Top,0.000000
R13,6.105000mm,1.345000mm,Top,0.000000
R14,10.315000mm,1.345000mm,Top,0.000000
R15,14.525000mm,1.345000mm,Top,0.000000
R16,18.735000mm,1.345000mm,Top,0.000000
R17,6.105000mm,-1.365000mm,Top,0.000000
R18,10.315000mm,-1.365000mm,Top,0.000000
R19,14.525000mm,-1.365000mm,Top,0.000000
R20,18.735000mm,-1.365000mm,Top,0.000000
R21,6.105000mm,-4.075000mm,Top,0.000000
U1,-16.670000mm,6.045000mm,Top,0.000000
