Designator,Mid X,Mid Y,Layer,Rotation
C7,-157.675000mm,-57.155000mm,Top,0.000000
C13,-123.395000mm,6.895000mm,Top,0.000000
C14,-127.825000mm,6.645000mm,Top,0.000000
C15,-124.480000mm,11.775000mm,Top,0.000000
C38,-148.000000mm,-24.200000mm,Top,0.000000
C39,-155.685000mm,-31.355000mm,Top,0.000000
C40,-147.265000mm,-31.355000mm,Top,0.000000
C41,-159.895000mm,-34.065000mm,Top,0.000000
C42,-159.075000mm,-14.225000mm,Top,0.000000
C43,-159.075000mm,-18.675000mm,Top,0.000000
C44,-159.895000mm,-22.255000mm,Top,0.000000
C45,-139.075000mm,-2.225000mm,Top,0.000000
C46,-133.225000mm,-2.225000mm,Top,0.000000
C47,-139.075000mm,-6.675000mm,Top,0.000000
C48,-133.225000mm,-6.675000mm,Top,0.000000
C49,-139.075000mm,-11.125000mm,Top,0.000000
C50,-157.075000mm,-53.775000mm,Top,0.000000
C51,-61.075000mm,-48.225000mm,Top,0.000000
C52,-55.225000mm,-48.225000mm,Top,0.000000
C53,-49.375000mm,-48.225000mm,Top,0.000000
C54,-43.525000mm,-48.225000mm,Top,0.000000
C55,-37.675000mm,-48.225000mm,Top,0.000000
C56,-61.075000mm,-52.675000mm,Top,0.000000
C57,-55.225000mm,-52.675000mm,Top,0.000000
C58,-61.075000mm,-63.225000mm,Top,0.000000
C59,-55.225000mm,-63.225000mm,Top,0.000000
C60,-49.375000mm,-63.225000mm,Top,0.000000
C61,-44.125000mm,-62.605000mm,Top,0.000000
C62,-39.475000mm,-62.605000mm,Top,0.000000
C63,-50.195000mm,-51.805000mm,Top,0.000000
C64,-61.895000mm,-66.805000mm,Top,0.000000
C65,-34.825000mm,-62.605000mm,Top,0.000000
C66,-57.685000mm,-66.805000mm,Top,0.000000
C67,-53.475000mm,-66.805000mm,Top,0.000000
C68,-127.735000mm,-57.355000mm,Top,0.000000
C69,-147.895000mm,-62.465000mm,Top,0.000000
C70,-133.225000mm,-11.125000mm,Top,0.000000
C71,-116.000000mm,-24.200000mm,Top,0.000000
C72,-123.685000mm,-31.355000mm,Top,0.000000
C73,-115.265000mm,-31.355000mm,Top,0.000000
