Designator,Mid X,Mid Y,Layer,Rotation
J_AB1,-64.380000mm,-78.752500mm,Bottom,0.000000
C1,-85.075000mm,-61.525000mm,Top,0.000000
C2,-79.225000mm,-61.525000mm,Top,0.000000
C3,-68.645000mm,-63.605000mm,Top,0.000000
C4,-64.435000mm,-63.605000mm,Top,0.000000
C5,-56.015000mm,-63.605000mm,Top,0.000000
C6,-51.805000mm,-63.605000mm,Top,0.000000
C7,-72.895000mm,-66.395000mm,Top,0.000000
C8,-68.685000mm,-66.395000mm,Top,0.000000
C9,-64.475000mm,-66.395000mm,Top,0.000000
C10,-48.725000mm,-51.605000mm,Top,0.000000
C11,-56.055000mm,-66.395000mm,Top,0.000000
C12,-11.475000mm,11.655000mm,Top,0.000000
C13,-13.865000mm,14.895000mm,Top,0.000000
C14,65.385000mm,77.820000mm,Top,0.000000
C15,48.325000mm,77.570000mm,Top,0.000000
C16,-59.475000mm,59.470000mm,Top,0.000000
C17,-54.715000mm,64.370000mm,Top,0.000000
C18,-17.895000mm,-31.915000mm,Top,0.000000
C19,-6.015000mm,-28.130000mm,Top,0.000000
C20,-15.245000mm,26.970000mm,Top,0.000000
C21,-2.615000mm,26.970000mm,Top,0.000000
C22,-19.675000mm,26.720000mm,Top,0.000000
C23,-15.685000mm,-79.555000mm,Top,0.000000
C24,-3.055000mm,-79.555000mm,Top,0.000000
C25,0.435000mm,-74.655000mm,Top,0.000000
C26,21.705000mm,-74.405000mm,Top,0.000000
C27,-50.285000mm,64.620000mm,Top,0.000000
C28,-1.585000mm,-27.880000mm,Top,0.000000
C29,-46.075000mm,64.620000mm,Top,0.000000
C30,2.625000mm,-27.880000mm,Top,0.000000
C31,-11.035000mm,26.970000mm,Top,0.000000
C32,-11.475000mm,-79.555000mm,Top,0.000000
C33,-15.685000mm,11.655000mm,Top,0.000000
C34,61.175000mm,77.820000mm,Top,0.000000
D1,-83.680000mm,-56.875000mm,Top,0.000000
F2,-9.875000mm,30.900000mm,Top,0.000000
F3,-11.275000mm,-75.625000mm,Top,0.000000
F4,-66.425000mm,63.400000mm,Top,0.000000
F5,-0.540000mm,-22.075000mm,Top,0.000000
F6,-18.425000mm,-75.625000mm,Top,0.000000
J_5V_IN1,-93.250000mm,-57.475000mm,Top,0.000000
J_5V_IN2,-93.250000mm,-67.475000mm,Top,0.000000
J_DCF77,-88.750000mm,77.525000mm,Top,0.000000
J_GPIO1,-28.752500mm,24.130000mm,Top,270.000000
J_PANEL,74.570000mm,67.247500mm,Top,0.000000
J_RB9603,4.375000mm,-60.450000mm,Top,0.000000
J_RB9704,1.110000mm,-48.752500mm,Top,0.000000
J_RTL1,-17.990000mm,-3.500000mm,Top,90.000000
J_TBEAM1,67.000000mm,55.550000mm,Top,0.000000
J_TCALL1,-16.550000mm,43.000000mm,Top,90.000000
J_TD2,-51.250000mm,77.525000mm,Top,0.000000
J_USB_UP1,-30.000000mm,-77.440000mm,Top,0.000000
J_USB_UP2,30.000000mm,-77.440000mm,Top,0.000000
J_XIAO1,-76.550000mm,55.000000mm,Top,90.000000
J_ZB1,43.990000mm,71.250000mm,Top,-90.000000
LED1,-85.855000mm,-64.695000mm,Top,180.000000
LED2,-72.855000mm,-63.645000mm,Top,180.000000
Q1,5.580000mm,-22.000000mm,Top,180.000000
R1,-81.645000mm,-64.655000mm,Top,0.000000
R2,-60.225000mm,-63.605000mm,Top,0.000000
R3,-60.265000mm,-66.395000mm,Top,0.000000
R4,-51.845000mm,-66.395000mm,Top,0.000000
R5,-72.895000mm,-69.105000mm,Top,0.000000
R6,-68.685000mm,-69.105000mm,Top,0.000000
R7,-64.475000mm,-69.105000mm,Top,0.000000
R8,-60.265000mm,-69.105000mm,Top,0.000000
R9,4.865000mm,-74.405000mm,Top,0.000000
R10,9.075000mm,-74.405000mm,Top,0.000000
R11,13.285000mm,-74.405000mm,Top,0.000000
R12,17.495000mm,-74.405000mm,Top,0.000000
R13,-9.435000mm,15.145000mm,Top,0.000000
R14,-19.095000mm,14.755000mm,Top,0.000000
R15,52.755000mm,77.820000mm,Top,0.000000
R16,74.555000mm,82.255000mm,Top,0.000000
R17,-63.685000mm,59.470000mm,Top,0.000000
R18,-59.945000mm,64.230000mm,Top,0.000000
R20,11.045000mm,-27.880000mm,Top,0.000000
R21,-11.245000mm,-28.270000mm,Top,0.000000
R22,-3.395000mm,31.730000mm,Top,0.000000
R24,-4.795000mm,-74.795000mm,Top,0.000000
R25,-19.895000mm,-79.555000mm,Top,0.000000
R26,-13.685000mm,-31.915000mm,Top,0.000000
R27,-9.475000mm,-31.915000mm,Top,0.000000
R28,-5.265000mm,-31.915000mm,Top,0.000000
R29,-69.895000mm,78.645000mm,Top,0.000000
R30,-19.895000mm,11.655000mm,Top,0.000000
R31,56.965000mm,77.820000mm,Top,0.000000
R32,-67.895000mm,59.470000mm,Top,0.000000
R33,6.835000mm,-27.880000mm,Top,0.000000
R34,-6.825000mm,26.970000mm,Top,0.000000
R35,-7.265000mm,-79.555000mm,Top,0.000000
U1,-68.025000mm,-56.125000mm,Top,270.000000
U2,2.135000mm,-66.000000mm,Top,270.000000
U3,10.685000mm,-66.000000mm,Top,270.000000
U4,-17.725000mm,-12.000000mm,Top,270.000000
U5,-17.725000mm,-16.800000mm,Top,270.000000
U6,-9.175000mm,-12.000000mm,Top,270.000000
U7,50.275000mm,81.500000mm,Top,270.000000
U8,67.375000mm,81.525000mm,Top,270.000000
U9,58.825000mm,81.500000mm,Top,270.000000
U10,-66.220000mm,69.450000mm,Top,270.000000
U11,-49.840000mm,70.525000mm,Top,270.000000
U12,-58.390000mm,70.500000mm,Top,270.000000
U13,-16.220000mm,-23.050000mm,Top,270.000000
U14,-8.390000mm,-21.975000mm,Top,270.000000
U15,-18.220000mm,36.950000mm,Top,270.000000
U16,-17.725000mm,31.000000mm,Top,270.000000
U17,-10.390000mm,38.000000mm,Top,270.000000
U18,-5.695000mm,-67.050000mm,Top,270.000000
U19,19.235000mm,-65.975000mm,Top,270.000000
U20,-15.550000mm,-68.275000mm,Top,270.000000
Y1,-58.325000mm,-52.325000mm,Top,0.000000
