Designator,Mid X,Mid Y,Layer,Rotation
J_AB1,-61.840000mm,-78.752500mm,Bottom,0.000000
BT1,-46.000000mm,26.999100mm,Top,0.000000
C1,-83.075000mm,-57.275000mm,Top,0.000000
C2,-77.225000mm,-57.275000mm,Top,0.000000
C3,-58.445000mm,-28.005000mm,Top,0.000000
C4,-54.235000mm,-28.005000mm,Top,0.000000
C5,-45.815000mm,-28.005000mm,Top,0.000000
C6,-41.605000mm,-28.005000mm,Top,0.000000
C7,-37.395000mm,-28.005000mm,Top,0.000000
C8,-33.185000mm,-28.005000mm,Top,0.000000
C9,-28.975000mm,-28.005000mm,Top,0.000000
C10,-24.765000mm,-28.005000mm,Top,0.000000
C11,-63.895000mm,-32.755000mm,Top,0.000000
C12,-59.685000mm,-32.755000mm,Top,0.000000
C13,-55.475000mm,-32.755000mm,Top,0.000000
C14,-51.265000mm,-32.755000mm,Top,0.000000
C15,-17.895000mm,9.610000mm,Top,0.000000
C16,-13.685000mm,9.610000mm,Top,0.000000
C17,-17.675000mm,12.570000mm,Top,0.000000
C18,0.385000mm,-27.900000mm,Top,0.000000
C19,-16.675000mm,-28.150000mm,Top,0.000000
C26,-104.765000mm,-55.260000mm,Top,0.000000
C27,-117.395000mm,-57.970000mm,Top,0.000000
C28,-12.245000mm,-27.900000mm,Top,0.000000
C30,-8.035000mm,-27.900000mm,Top,0.000000
C31,-41.945000mm,-74.730000mm,Top,0.000000
C32,-55.675000mm,-74.980000mm,Top,0.000000
C33,-49.025000mm,-65.100000mm,Top,0.000000
C34,-43.175000mm,-65.100000mm,Top,0.000000
C35,-39.055000mm,-77.940000mm,Top,0.000000
C36,-51.025000mm,-74.980000mm,Top,0.000000
C37,-55.075000mm,-71.150000mm,Top,0.000000
C38,-49.225000mm,-71.150000mm,Top,0.000000
C39,-43.265000mm,-80.650000mm,Top,0.000000
C40,-71.375000mm,-57.275000mm,Top,0.000000
C41,-65.525000mm,-57.275000mm,Top,0.000000
C42,-83.075000mm,-60.825000mm,Top,0.000000
C43,-116.575000mm,-1.775000mm,Top,0.000000
C44,-116.575000mm,-5.325000mm,Top,0.000000
C45,-117.175000mm,-8.705000mm,Top,0.000000
C46,-112.525000mm,-8.705000mm,Top,0.000000
C47,-117.175000mm,-11.915000mm,Top,0.000000
C48,-112.525000mm,-11.915000mm,Top,0.000000
C49,-46.375000mm,-74.980000mm,Top,0.000000
C50,-47.735000mm,49.225000mm,Top,0.000000
C51,-38.455000mm,49.645000mm,Top,0.000000
C52,-49.835000mm,40.045000mm,Top,0.000000
C53,-46.765000mm,40.045000mm,Top,0.000000
C54,-102.375000mm,-50.455000mm,Top,0.000000
