Designator,Mid X,Mid Y,Layer,Rotation
C1,132.545000mm,-76.340000mm,Bottom,0.000000
C2,137.195000mm,-76.340000mm,Bottom,0.000000
C3,145.875000mm,-76.090000mm,Bottom,0.000000
C4,150.085000mm,-76.090000mm,Bottom,0.000000
C5,125.745000mm,-94.020000mm,Bottom,0.000000
C6,128.815000mm,-94.020000mm,Bottom,0.000000
C7,154.295000mm,-76.090000mm,Bottom,0.000000
C8,158.505000mm,-76.090000mm,Bottom,0.000000
C9,162.715000mm,-76.090000mm,Bottom,0.000000
C10,166.925000mm,-76.090000mm,Bottom,0.000000
C11,122.105000mm,-80.740000mm,Bottom,0.000000
C12,126.315000mm,-80.740000mm,Bottom,0.000000
C13,130.525000mm,-80.740000mm,Bottom,0.000000
C14,134.735000mm,-80.740000mm,Bottom,0.000000
C15,138.945000mm,-80.740000mm,Bottom,0.000000
C16,143.155000mm,-80.740000mm,Bottom,0.000000
C17,147.365000mm,-80.740000mm,Bottom,0.000000
C18,151.575000mm,-80.740000mm,Bottom,0.000000
C19,155.785000mm,-80.740000mm,Bottom,0.000000
C20,159.995000mm,-80.740000mm,Bottom,0.000000
C21,164.205000mm,-80.740000mm,Bottom,0.000000
C22,168.415000mm,-80.740000mm,Bottom,0.000000
C23,122.105000mm,-83.450000mm,Bottom,0.000000
C24,126.315000mm,-83.450000mm,Bottom,0.000000
C25,130.525000mm,-83.450000mm,Bottom,0.000000
C26,134.735000mm,-83.450000mm,Bottom,0.000000
C27,138.945000mm,-83.450000mm,Bottom,0.000000
C38,143.155000mm,-83.450000mm,Bottom,0.000000
D17,43.020000mm,-98.775000mm,Bottom,0.000000
D18,141.665000mm,-76.130000mm,Bottom,180.000000
FB1,57.105000mm,-105.855000mm,Bottom,0.000000
FB2,61.315000mm,-105.855000mm,Bottom,0.000000
FB3,65.525000mm,-105.855000mm,Bottom,0.000000
FB4,69.735000mm,-105.855000mm,Bottom,0.000000
J_PANEL,-116.000000mm,96.000000mm,Bottom,0.000000
Q1,163.155000mm,-72.235000mm,Bottom,180.000000
Q2,168.265000mm,-72.235000mm,Bottom,180.000000
