Designator,Mid X,Mid Y,Layer,Rotation
C3,-34.675000mm,32.395000mm,Bottom,0.000000
C4,-25.595000mm,32.645000mm,Bottom,0.000000
C6,-34.895000mm,29.435000mm,Bottom,0.000000
C7,-30.685000mm,29.435000mm,Bottom,0.000000
C8,-26.475000mm,29.435000mm,Bottom,0.000000
C9,-30.025000mm,32.395000mm,Bottom,0.000000
C12,22.945000mm,8.725000mm,Bottom,0.000000
C15,27.155000mm,8.725000mm,Bottom,0.000000
C16,31.365000mm,8.725000mm,Bottom,0.000000
C17,6.325000mm,14.395000mm,Bottom,0.000000
C18,14.525000mm,-14.775000mm,Bottom,0.000000
C28,18.735000mm,-14.775000mm,Bottom,0.000000
C34,22.945000mm,-14.775000mm,Bottom,0.000000
C41,27.155000mm,-14.775000mm,Bottom,0.000000
C42,31.365000mm,-14.775000mm,Bottom,0.000000
C43,9.745000mm,-17.215000mm,Bottom,0.000000
C44,12.815000mm,-17.215000mm,Bottom,0.000000
C45,15.885000mm,-17.215000mm,Bottom,0.000000
C46,35.575000mm,-14.775000mm,Bottom,0.000000
C47,39.785000mm,-14.775000mm,Bottom,0.000000
C48,6.105000mm,-17.485000mm,Bottom,0.000000
C51,-15.900000mm,-5.855000mm,Bottom,0.000000
C52,-11.690000mm,-5.855000mm,Bottom,0.000000
C53,-7.480000mm,-5.855000mm,Bottom,0.000000
C54,-21.895000mm,-9.405000mm,Bottom,0.000000
C55,-17.685000mm,-9.405000mm,Bottom,0.000000
C56,-13.475000mm,-9.405000mm,Bottom,0.000000
C57,-21.895000mm,-14.825000mm,Bottom,0.000000
D2,-20.980000mm,-6.275000mm,Bottom,0.000000
R1,-22.265000mm,29.435000mm,Bottom,0.000000
R2,-34.895000mm,26.725000mm,Bottom,0.000000
R3,-30.685000mm,26.725000mm,Bottom,0.000000
R4,10.755000mm,14.645000mm,Bottom,0.000000
R5,-9.265000mm,-12.115000mm,Bottom,0.000000
R6,14.965000mm,14.645000mm,Bottom,0.000000
R7,19.175000mm,14.645000mm,Bottom,0.000000
R8,23.385000mm,14.645000mm,Bottom,0.000000
R9,27.595000mm,14.645000mm,Bottom,0.000000
R10,31.805000mm,14.645000mm,Bottom,0.000000
R11,36.015000mm,14.645000mm,Bottom,0.000000
R12,40.225000mm,14.645000mm,Bottom,0.000000
R13,6.105000mm,11.435000mm,Bottom,0.000000
R14,10.315000mm,11.435000mm,Bottom,0.000000
R15,14.525000mm,11.435000mm,Bottom,0.000000
R16,18.735000mm,11.435000mm,Bottom,0.000000
R17,22.945000mm,11.435000mm,Bottom,0.000000
R18,27.155000mm,11.435000mm,Bottom,0.000000
R19,31.365000mm,11.435000mm,Bottom,0.000000
R20,35.575000mm,11.435000mm,Bottom,0.000000
R21,39.785000mm,11.435000mm,Bottom,0.000000
R22,6.105000mm,8.725000mm,Bottom,0.000000
R23,10.315000mm,8.725000mm,Bottom,0.000000
R24,14.525000mm,8.725000mm,Bottom,0.000000
R25,18.735000mm,8.725000mm,Bottom,0.000000
R26,6.105000mm,-9.355000mm,Bottom,0.000000
R27,10.315000mm,-9.355000mm,Bottom,0.000000
R28,14.525000mm,-9.355000mm,Bottom,0.000000
R31,18.735000mm,-9.355000mm,Bottom,0.000000
R32,22.945000mm,-9.355000mm,Bottom,0.000000
R33,27.155000mm,-9.355000mm,Bottom,0.000000
R34,31.365000mm,-9.355000mm,Bottom,0.000000
R35,35.575000mm,-9.355000mm,Bottom,0.000000
R36,39.785000mm,-9.355000mm,Bottom,0.000000
R37,6.105000mm,-12.065000mm,Bottom,0.000000
R38,10.315000mm,-12.065000mm,Bottom,0.000000
R39,14.525000mm,-12.065000mm,Bottom,0.000000
R40,18.735000mm,-12.065000mm,Bottom,0.000000
R41,22.945000mm,-12.065000mm,Bottom,0.000000
R42,27.155000mm,-12.065000mm,Bottom,0.000000
R43,31.365000mm,-12.065000mm,Bottom,0.000000
R44,35.575000mm,-12.065000mm,Bottom,0.000000
R45,39.785000mm,-12.065000mm,Bottom,0.000000
R46,6.105000mm,-14.775000mm,Bottom,0.000000
R47,10.315000mm,-14.775000mm,Bottom,0.000000
R48,-9.265000mm,-9.405000mm,Bottom,0.000000
R49,-21.895000mm,-12.115000mm,Bottom,0.000000
R50,-17.685000mm,-12.115000mm,Bottom,0.000000
R51,-13.475000mm,-12.115000mm,Bottom,0.000000
R66,-17.895000mm,32.645000mm,Bottom,0.000000
R67,-13.685000mm,32.645000mm,Bottom,0.000000
R68,-9.475000mm,32.645000mm,Bottom,0.000000
R69,-5.265000mm,32.645000mm,Bottom,0.000000
R70,-1.055000mm,32.645000mm,Bottom,0.000000
R71,-17.895000mm,29.935000mm,Bottom,0.000000
R72,-13.685000mm,29.935000mm,Bottom,0.000000
R73,-9.475000mm,29.935000mm,Bottom,0.000000
R74,-5.265000mm,29.935000mm,Bottom,0.000000
R75,-1.055000mm,29.935000mm,Bottom,0.000000
R76,-17.895000mm,27.225000mm,Bottom,0.000000
R77,-13.685000mm,27.225000mm,Bottom,0.000000
R78,-9.475000mm,27.225000mm,Bottom,0.000000
R79,-5.265000mm,27.225000mm,Bottom,0.000000
C1,-25.480000mm,31.775000mm,Top,0.000000
C2,-34.075000mm,26.025000mm,Top,0.000000
C5,-28.225000mm,26.025000mm,Top,0.000000
C10,23.385000mm,14.545000mm,Top,0.000000
C11,32.465000mm,14.795000mm,Top,0.000000
C13,35.005000mm,3.455000mm,Top,0.000000
C14,38.075000mm,3.455000mm,Top,0.000000
C19,28.555000mm,-12.905000mm,Top,0.000000
C20,32.765000mm,-12.905000mm,Top,0.000000
C21,36.975000mm,-12.905000mm,Top,0.000000
C22,6.105000mm,-16.115000mm,Top,0.000000
C23,10.315000mm,-16.115000mm,Top,0.000000
C24,6.325000mm,-13.155000mm,Top,0.000000
C25,10.975000mm,-13.155000mm,Top,0.000000
C26,26.585000mm,-15.845000mm,Top,0.000000
C27,29.655000mm,-15.845000mm,Top,0.000000
C29,36.675000mm,14.795000mm,Top,0.000000
C30,40.885000mm,14.795000mm,Top,0.000000
C31,6.105000mm,3.185000mm,Top,0.000000
C32,10.315000mm,3.185000mm,Top,0.000000
C33,28.035000mm,14.545000mm,Top,0.000000
C35,14.525000mm,3.185000mm,Top,0.000000
C36,18.735000mm,3.185000mm,Top,0.000000
C37,22.945000mm,3.185000mm,Top,0.000000
C38,27.155000mm,3.185000mm,Top,0.000000
C39,14.525000mm,-16.115000mm,Top,0.000000
C40,15.625000mm,-13.155000mm,Top,0.000000
C49,-43.895000mm,-23.355000mm,Top,0.000000
C50,-43.895000mm,-26.065000mm,Top,0.000000
C58,28.500000mm,-35.000000mm,Top,90.000000
C59,21.000000mm,-34.500000mm,Top,90.000000
C60,13.000000mm,-34.500000mm,Top,90.000000
C61,41.145000mm,3.455000mm,Top,0.000000
C62,31.365000mm,3.185000mm,Top,0.000000
C63,-30.645000mm,-20.230000mm,Top,0.000000
D1,-32.680000mm,31.125000mm,Top,0.000000
FB1,-29.275000mm,22.325000mm,Top,0.000000
J_ANT,-31.000000mm,-33.000000mm,Top,0.000000
J_HARN1,-42.752500mm,16.890000mm,Top,270.000000
J_HS1,45.950000mm,8.000000mm,Top,90.000000
J_HS2,45.950000mm,-16.000000mm,Top,90.000000
J_PAIN,8.870000mm,-29.000000mm,Top,0.000000
J_PAOUT,35.000000mm,-30.000000mm,Top,0.000000
J_PWR1,-42.550000mm,-17.757500mm,Top,90.000000
J_USB3,45.450000mm,21.000000mm,Top,90.000000
J_VGG,42.500000mm,-21.950000mm,Top,0.000000
K1,-14.000000mm,-26.000000mm,Top,0.000000
L1,25.000000mm,-29.000000mm,Top,0.000000
L2,17.000000mm,-29.000000mm,Top,0.000000
LED1,-24.755000mm,22.405000mm,Top,180.000000
LED2,20.095000mm,-12.945000mm,Top,180.000000
LED3,24.345000mm,-12.945000mm,Top,180.000000
LED4,-13.695000mm,-15.445000mm,Top,180.000000
LED5,-9.445000mm,-15.445000mm,Top,180.000000
LED6,-34.855000mm,-20.270000mm,Top,180.000000
Q1,-18.395000mm,-16.375000mm,Top,180.000000
Q2,-23.445000mm,-33.825000mm,Top,180.000000
Q3,-17.445000mm,31.675000mm,Top,180.000000
Q4,-12.335000mm,31.675000mm,Top,180.000000
Q5,-7.225000mm,31.675000mm,Top,180.000000
Q6,-2.115000mm,31.675000mm,Top,180.000000
Q7,-17.445000mm,27.025000mm,Top,180.000000
Q8,-12.335000mm,27.025000mm,Top,180.000000
Q9,-7.225000mm,27.025000mm,Top,180.000000
R29,18.735000mm,-16.115000mm,Top,0.000000
R30,22.945000mm,-16.115000mm,Top,0.000000
R52,-18.785000mm,-32.855000mm,Top,0.000000
R53,-14.575000mm,-32.855000mm,Top,0.000000
R54,-5.000000mm,-29.000000mm,Top,0.000000
R55,-1.000000mm,-34.000000mm,Top,-90.000000
R56,3.000000mm,-29.000000mm,Top,0.000000
U1,-34.325000mm,21.300000mm,Top,270.000000
U3,10.300000mm,22.075000mm,Top,0.000000
U4,9.805000mm,10.345000mm,Top,0.000000
U5,37.245000mm,25.500000mm,Top,270.000000
U6,20.185000mm,-5.775000mm,Top,0.000000
U7,21.535000mm,23.075000mm,Top,0.000000
U8,9.205000mm,-2.480000mm,Top,0.000000
U9,-20.600000mm,-7.000000mm,Top,270.000000
U10,-15.250000mm,-7.000000mm,Top,270.000000
U11,-9.900000mm,-7.000000mm,Top,270.000000
U12,-34.325000mm,-16.550000mm,Top,270.000000
U13,-28.975000mm,-16.550000mm,Top,270.000000
U14,-23.625000mm,-16.550000mm,Top,270.000000
U15,29.815000mm,24.630000mm,Top,270.000000
U16,-29.950000mm,-9.275000mm,Top,270.000000
Y1,18.335000mm,13.775000mm,Top,0.000000
Y2,28.685000mm,-2.375000mm,Top,0.000000
