Designator,Mid X,Mid Y,Layer,Rotation
C1,30.470000mm,-55.775000mm,Top,0.000000
C2,60.600000mm,-55.355000mm,Top,0.000000
C3,36.320000mm,-55.775000mm,Top,0.000000
D1,-12.430000mm,-57.975000mm,Top,0.000000
D2,24.570000mm,-55.775000mm,Top,0.000000
D3,-1.335000mm,-57.975000mm,Top,0.000000
J_AUX,116.750000mm,-57.475000mm,Top,0.000000
J_DCIN,-106.757500mm,-59.450000mm,Top,0.000000
LED1,56.390000mm,-55.395000mm,Top,180.000000
Q1,8.515000mm,-57.460000mm,Top,270.000000
R1,64.810000mm,-55.355000mm,Top,0.000000
R2,69.020000mm,-55.355000mm,Top,0.000000
R3,73.230000mm,-55.355000mm,Top,0.000000
R4,77.440000mm,-55.355000mm,Top,0.000000
U2,17.195000mm,-56.925000mm,Top,0.000000
