Designator,Mid X,Mid Y,Layer,Rotation
C1,21.760000mm,-55.775000mm,Top,0.000000
C2,51.890000mm,-55.355000mm,Top,0.000000
C3,27.610000mm,-55.775000mm,Top,0.000000
D1,-12.430000mm,-57.975000mm,Top,0.000000
D2,15.860000mm,-55.775000mm,Top,0.000000
D3,-1.335000mm,-57.975000mm,Top,0.000000
J_AUX,116.750000mm,-57.475000mm,Top,0.000000
J_DCIN,-106.757500mm,-59.450000mm,Top,0.000000
LED1,47.680000mm,-55.395000mm,Top,0.000000
Q1,8.515000mm,-57.460000mm,Top,0.000000
R1,56.100000mm,-55.355000mm,Top,0.000000
R2,60.310000mm,-55.355000mm,Top,0.000000
