Designator,Mid X,Mid Y,Layer,Rotation
C1,150.915000mm,-67.155000mm,Bottom,0.000000
C2,155.565000mm,-67.155000mm,Bottom,0.000000
C3,159.995000mm,-66.905000mm,Bottom,0.000000
C4,164.205000mm,-66.905000mm,Bottom,0.000000
C5,168.415000mm,-66.905000mm,Bottom,0.000000
C6,122.105000mm,-71.730000mm,Bottom,0.000000
C7,126.315000mm,-71.730000mm,Bottom,0.000000
C8,130.525000mm,-71.730000mm,Bottom,0.000000
C9,134.735000mm,-71.730000mm,Bottom,0.000000
C10,138.945000mm,-71.730000mm,Bottom,0.000000
C11,143.155000mm,-71.730000mm,Bottom,0.000000
C12,147.365000mm,-71.730000mm,Bottom,0.000000
C13,151.575000mm,-71.730000mm,Bottom,0.000000
D17,43.020000mm,-90.775000mm,Bottom,0.000000
FB1,105.950000mm,-90.355000mm,Bottom,0.000000
FB2,110.160000mm,-90.355000mm,Bottom,0.000000
FB3,42.105000mm,-94.105000mm,Bottom,0.000000
FB4,46.315000mm,-94.105000mm,Bottom,0.000000
J_EPD,140.000000mm,108.000000mm,Bottom,90.000000
J_MAINSW,-100.000000mm,-108.000000mm,Bottom,0.000000
J_PANEL,150.000000mm,92.000000mm,Bottom,0.000000
J_PIJ2,-80.000000mm,-108.000000mm,Bottom,0.000000
Q1,130.705000mm,-67.875000mm,Bottom,180.000000
Q2,135.815000mm,-67.875000mm,Bottom,180.000000
Q3,140.925000mm,-67.875000mm,Bottom,180.000000
Q4,146.035000mm,-67.875000mm,Bottom,180.000000
R1,155.785000mm,-71.730000mm,Bottom,0.000000
R2,159.995000mm,-71.730000mm,Bottom,0.000000
R3,164.205000mm,-71.730000mm,Bottom,0.000000
R4,168.415000mm,-71.730000mm,Bottom,0.000000
R5,122.105000mm,-74.440000mm,Bottom,0.000000
R6,126.315000mm,-74.440000mm,Bottom,0.000000
R7,130.525000mm,-74.440000mm,Bottom,0.000000
R8,134.735000mm,-74.440000mm,Bottom,0.000000
R9,138.945000mm,-74.440000mm,Bottom,0.000000
R10,143.155000mm,-74.440000mm,Bottom,0.000000
R11,147.365000mm,-74.440000mm,Bottom,0.000000
R12,151.575000mm,-74.440000mm,Bottom,0.000000
R13,155.785000mm,-74.440000mm,Bottom,0.000000
R14,159.995000mm,-74.440000mm,Bottom,0.000000
R15,164.205000mm,-74.440000mm,Bottom,0.000000
R16,168.415000mm,-74.440000mm,Bottom,0.000000
R17,122.105000mm,-77.150000mm,Bottom,0.000000
R18,126.315000mm,-77.150000mm,Bottom,0.000000
R19,130.525000mm,-77.150000mm,Bottom,0.000000
R20,134.735000mm,-77.150000mm,Bottom,0.000000
R21,138.945000mm,-77.150000mm,Bottom,0.000000
R22,143.155000mm,-77.150000mm,Bottom,0.000000
R23,147.365000mm,-77.150000mm,Bottom,0.000000
R24,151.575000mm,-77.150000mm,Bottom,0.000000
R25,155.785000mm,-77.150000mm,Bottom,0.000000
R26,159.995000mm,-77.150000mm,Bottom,0.000000
R27,164.205000mm,-77.150000mm,Bottom,0.000000
R28,168.415000mm,-77.150000mm,Bottom,0.000000
R29,122.105000mm,-79.860000mm,Bottom,0.000000
R30,126.315000mm,-79.860000mm,Bottom,0.000000
R31,130.525000mm,-79.860000mm,Bottom,0.000000
R32,140.000000mm,26.000000mm,Bottom,0.000000
R33,140.000000mm,-24.000000mm,Bottom,0.000000
R34,134.735000mm,-79.860000mm,Bottom,0.000000
R35,138.945000mm,-79.860000mm,Bottom,0.000000
R36,143.155000mm,-79.860000mm,Bottom,0.000000
R37,147.365000mm,-79.860000mm,Bottom,0.000000
R38,151.575000mm,-79.860000mm,Bottom,0.000000
R39,155.785000mm,-79.860000mm,Bottom,0.000000
U1,126.250000mm,-60.775000mm,Bottom,270.000000
U2,138.375000mm,-60.775000mm,Bottom,270.000000
U5,148.325000mm,-58.325000mm,Bottom,270.000000
U6,156.475000mm,-58.325000mm,Bottom,270.000000
U7,164.625000mm,-58.325000mm,Bottom,270.000000
U8,124.075000mm,-67.875000mm,Bottom,270.000000
D1,126.730000mm,45.000000mm,Top,0.000000
D2,126.730000mm,36.000000mm,Top,0.000000
D3,126.730000mm,27.000000mm,Top,0.000000
D4,126.730000mm,18.000000mm,Top,0.000000
D5,126.730000mm,9.000000mm,Top,0.000000
D6,126.730000mm,0.000000mm,Top,0.000000
D7,126.730000mm,-9.000000mm,Top,0.000000
D8,126.730000mm,-18.000000mm,Top,0.000000
D9,126.730000mm,-27.000000mm,Top,0.000000
D10,126.730000mm,-36.000000mm,Top,0.000000
D11,126.730000mm,-45.000000mm,Top,0.000000
D12,-21.270000mm,-101.000000mm,Top,0.000000
D13,-15.270000mm,-101.000000mm,Top,0.000000
D14,-9.270000mm,-101.000000mm,Top,0.000000
D15,-3.270000mm,-101.000000mm,Top,0.000000
D16,2.730000mm,-101.000000mm,Top,0.000000
