Designator,Mid X,Mid Y,Layer,Rotation
R36,30.855000mm,3.295000mm,Bottom,0.000000
C1,38.785000mm,38.095000mm,Top,0.000000
C2,28.605000mm,33.270000mm,Top,0.000000
C4,30.455000mm,60.045000mm,Top,0.000000
C5,49.105000mm,55.220000mm,Top,0.000000
C6,25.105000mm,55.220000mm,Top,0.000000
C7,41.235000mm,33.270000mm,Top,0.000000
C8,28.605000mm,30.560000mm,Top,0.000000
C9,57.525000mm,55.220000mm,Top,0.000000
C10,61.735000mm,55.220000mm,Top,0.000000
C11,65.815000mm,35.015000mm,Top,0.000000
C12,65.815000mm,43.145000mm,Top,0.000000
C13,65.815000mm,40.435000mm,Top,0.000000
C14,70.025000mm,40.435000mm,Top,0.000000
C15,32.815000mm,33.270000mm,Top,0.000000
C16,70.025000mm,37.725000mm,Top,0.000000
C17,32.815000mm,30.560000mm,Top,0.000000
C18,37.025000mm,30.560000mm,Top,0.000000
C20,15.105000mm,17.720000mm,Top,0.000000
C21,19.315000mm,17.720000mm,Top,0.000000
C22,15.105000mm,15.010000mm,Top,0.000000
C23,15.925000mm,43.550000mm,Top,0.000000
C24,15.925000mm,39.100000mm,Top,0.000000
C25,19.315000mm,15.010000mm,Top,0.000000
C26,15.925000mm,34.650000mm,Top,0.000000
C27,15.925000mm,30.200000mm,Top,0.000000
C28,15.925000mm,25.750000mm,Top,0.000000
C29,15.925000mm,21.300000mm,Top,0.000000
C30,15.105000mm,12.300000mm,Top,0.000000
C31,25.105000mm,52.510000mm,Top,0.000000
C32,41.235000mm,22.430000mm,Top,0.000000
D1,62.645000mm,60.005000mm,Top,180.000000
D2,66.895000mm,60.005000mm,Top,180.000000
FB1,53.315000mm,55.220000mm,Top,0.000000
FB2,29.315000mm,55.220000mm,Top,0.000000
J_HARN1,6.247500mm,45.890000mm,Top,270.000000
J_PWR1,5.242500mm,17.550000mm,Top,0.000000
J_SWD1,60.175000mm,4.500000mm,Top,90.000000
L1,17.200000mm,50.075000mm,Top,0.000000
Q1,36.495000mm,42.000000mm,Top,180.000000
Q2,41.585000mm,42.000000mm,Top,180.000000
Q3,29.045000mm,36.950000mm,Top,180.000000
Q4,34.135000mm,36.950000mm,Top,180.000000
R1,65.945000mm,55.220000mm,Top,0.000000
R2,61.605000mm,43.145000mm,Top,0.000000
R3,61.605000mm,35.015000mm,Top,0.000000
R4,61.605000mm,40.435000mm,Top,0.000000
R5,61.605000mm,37.725000mm,Top,0.000000
R8,28.605000mm,19.720000mm,Top,0.000000
R9,32.815000mm,19.720000mm,Top,0.000000
R10,41.235000mm,30.560000mm,Top,0.000000
R11,28.605000mm,27.850000mm,Top,0.000000
R12,32.815000mm,27.850000mm,Top,0.000000
R13,37.025000mm,27.850000mm,Top,0.000000
R14,37.025000mm,33.270000mm,Top,0.000000
R15,49.105000mm,52.510000mm,Top,0.000000
R16,65.815000mm,37.725000mm,Top,0.000000
R17,70.025000mm,43.145000mm,Top,0.000000
R18,28.605000mm,25.140000mm,Top,0.000000
R19,41.235000mm,27.850000mm,Top,0.000000
R30,19.315000mm,12.300000mm,Top,0.000000
R31,15.105000mm,9.590000mm,Top,0.000000
R32,19.315000mm,9.590000mm,Top,0.000000
R33,15.105000mm,6.880000mm,Top,0.000000
R34,19.315000mm,6.880000mm,Top,0.000000
R35,15.105000mm,4.170000mm,Top,0.000000
R37,37.025000mm,25.140000mm,Top,0.000000
R38,41.235000mm,25.140000mm,Top,0.000000
R39,28.605000mm,22.430000mm,Top,0.000000
R40,32.815000mm,22.430000mm,Top,0.000000
R41,37.025000mm,22.430000mm,Top,0.000000
U1,16.725000mm,57.850000mm,Top,0.000000
U3,25.675000mm,58.900000mm,Top,270.000000
U4,57.825000mm,58.900000mm,Top,270.000000
U5,52.675000mm,37.325000mm,Top,270.000000
U6,51.075000mm,58.900000mm,Top,270.000000
Y1,30.225000mm,41.975000mm,Top,0.000000
