Designator,Mid X,Mid Y,Layer,Rotation
R36,42.105000mm,3.295000mm,Bottom,0.000000
C7,25.105000mm,55.295000mm,Top,0.000000
C8,29.315000mm,55.295000mm,Top,0.000000
C9,66.215000mm,60.045000mm,Top,0.000000
C10,49.105000mm,53.260000mm,Top,0.000000
C13,70.025000mm,43.145000mm,Top,0.000000
C14,61.605000mm,40.435000mm,Top,0.000000
C17,33.715000mm,38.495000mm,Top,0.000000
C18,37.925000mm,38.495000mm,Top,0.000000
C20,15.105000mm,17.810000mm,Top,0.000000
C21,19.315000mm,17.810000mm,Top,0.000000
C22,15.105000mm,15.100000mm,Top,0.000000
C23,15.925000mm,43.640000mm,Top,0.000000
C24,15.925000mm,39.190000mm,Top,0.000000
C25,19.315000mm,15.100000mm,Top,0.000000
C26,15.925000mm,34.740000mm,Top,0.000000
C27,15.925000mm,30.290000mm,Top,0.000000
C28,15.925000mm,25.840000mm,Top,0.000000
C29,15.925000mm,21.390000mm,Top,0.000000
C30,15.105000mm,12.390000mm,Top,0.000000
C32,28.605000mm,28.425000mm,Top,0.000000
C33,53.455000mm,32.835000mm,Top,0.000000
C34,48.425000mm,31.965000mm,Top,0.000000
C35,47.605000mm,28.385000mm,Top,0.000000
C36,51.815000mm,28.385000mm,Top,0.000000
C37,56.025000mm,28.385000mm,Top,0.000000
C38,30.555000mm,60.045000mm,Top,0.000000
C39,53.315000mm,53.260000mm,Top,0.000000
D1,57.795000mm,60.005000mm,Top,180.000000
FB1,62.005000mm,60.045000mm,Top,0.000000
J_HARN1,6.247500mm,45.890000mm,Top,270.000000
J_PWR1,5.242500mm,17.550000mm,Top,0.000000
J_UART1,61.460000mm,4.500000mm,Top,90.000000
Q1,29.055000mm,42.175000mm,Top,180.000000
Q2,34.165000mm,42.175000mm,Top,180.000000
Q3,39.275000mm,42.175000mm,Top,180.000000
Q4,29.055000mm,37.525000mm,Top,180.000000
R2,61.605000mm,43.145000mm,Top,0.000000
R3,57.525000mm,53.260000mm,Top,0.000000
R4,65.815000mm,43.145000mm,Top,0.000000
R8,32.815000mm,28.425000mm,Top,0.000000
R9,37.025000mm,28.425000mm,Top,0.000000
R10,42.135000mm,38.495000mm,Top,0.000000
R11,28.605000mm,33.845000mm,Top,0.000000
R12,32.815000mm,33.845000mm,Top,0.000000
R13,37.025000mm,33.845000mm,Top,0.000000
R15,61.735000mm,53.260000mm,Top,0.000000
R30,19.315000mm,12.390000mm,Top,0.000000
R31,15.105000mm,9.680000mm,Top,0.000000
R32,19.315000mm,9.680000mm,Top,0.000000
R33,15.105000mm,6.970000mm,Top,0.000000
R34,19.315000mm,6.970000mm,Top,0.000000
R35,15.105000mm,4.260000mm,Top,0.000000
R37,41.235000mm,33.845000mm,Top,0.000000
R38,28.605000mm,31.135000mm,Top,0.000000
R39,32.815000mm,31.135000mm,Top,0.000000
R40,37.025000mm,31.135000mm,Top,0.000000
R41,41.235000mm,31.135000mm,Top,0.000000
U1,16.725000mm,57.850000mm,Top,0.000000
U5,51.030000mm,39.345000mm,Top,0.000000
U7,51.325000mm,57.940000mm,Top,270.000000
X1,25.725000mm,59.025000mm,Top,0.000000
